datetime,city,state,country,shape,duration (seconds)
10/11/08 22:30,los angeles,ca,us,triangle,30
10/11/09 00:00,sedro woolley,wa,,unknown,10
10/11/09 02:45,deer park,ny,us,other,10800
10/11/09 04:00,crisfield,md,us,light,600
10/11/09 04:45,st. john&#39s (canada),nf,ca,flash,5
10/11/09 09:45,plymouth,mi,us,triangle,20
10/11/09 12:30,glendale,az,us,egg,1200
10/11/09 18:00,louisville,ky,us,disk,120
10/11/09 18:05,west palm beach,fl,us,oval,3
10/11/09 19:00,north smithfield,ri,us,circle,15
10/11/09 19:50,putnamville,in,us,flash,540
10/11/09 21:55,madison,wi,us,light,180
10/11/10 00:30,redondo beach,ca,us,other,1200
10/11/10 04:00,moxee,wa,,rectangle,1
10/11/10 04:50,albany,ny,us,oval,120
10/11/10 06:20,west palm beach,fl,us,sphere,2400
10/11/10 12:30,orangevale,ca,us,changing,2700
10/11/10 19:40,cottage grove,mn,us,light,240
10/11/10 20:50,glendora,ca,us,circle,60
10/11/10 20:53,ramona,ca,us,triangle,5
10/11/10 21:35,union city,ca,us,other,15
10/11/10 23:20,clinton township,mi,,fireball,15
10/11/11 03:15,omaha,il,us,chevron,120
10/11/11 08:40,henderson,nv,us,other,180
10/11/11 15:00,cedar city,ut,us,light,8
10/11/11 19:40,des moines,ia,us,light,90
10/11/11 19:42,new bedford,ma,us,circle,1800
10/11/11 21:00,monroe,ct,us,,300
10/11/11 21:10,holden beach,nc,us,circle,30
10/11/11 23:23,harrodsburg,ky,us,unknown,480
10/11/12 01:00,worcester,ma,us,unknown,4
10/11/12 02:45,watchung (was my perspective),nj,us,sphere,3600
10/11/12 04:00,tewksbury,ma,us,light,2
10/11/12 07:00,bablyon,ny,,disk,120
10/11/12 08:00,angola,in,us,cigar,7200
10/11/12 19:30,arbutus,md,us,light,300
10/11/12 19:30,forty fort,pa,us,fireball,720
10/11/12 19:45,saratoga springs,ny,us,circle,300
10/11/12 20:00,nanticoke,pa,us,diamond,60
10/11/12 20:30,las cruces,nm,us,fireball,120
10/11/12 20:42,ravensdale,wa,us,triangle,10
10/11/12 21:00,levittown,pa,us,diamond,60
10/11/12 21:01,phoenix,az,us,sphere,30
10/11/12 22:15,blue island,il,us,circle,45
10/11/13 01:00,saginaw,mi,us,chevron,4
10/11/13 03:00,hamilton (canada),on,ca,cylinder,3600
10/11/13 06:13,ankeny,ia,us,circle,120
10/11/13 09:05,palm beach gardens,fl,us,light,15
10/11/13 16:01,pickering (canada),on,ca,circle,300
10/11/13 16:35,kalamazoo,mi,us,fireball,600
10/11/13 19:00,lawrence,ks,us,unknown,240
10/11/13 19:20,north cincinnati,oh,,fireball,600
10/11/13 19:50,essex junction,vt,us,light,60
10/11/13 20:00,cincinnati,oh,us,circle,300
10/11/13 20:00,cincinnati,oh,us,fireball,240
10/11/13 20:00,naples,fl,us,light,7200
10/11/13 20:15,bonaie,ga,,light,300
10/11/13 20:15,cincinnati,oh,us,fireball,60
10/11/13 20:15,union,ky,us,fireball,300
10/11/13 20:20,hubbardston,ma,us,fireball,60
10/11/13 20:45,covington,ga,us,light,300
10/11/13 21:00,drexel,oh,us,sphere,180
10/11/13 21:00,fayetteville,ny,us,chevron,90
10/11/13 22:00,jupiter,fl,us,light,900
10/11/13 22:00,melbourne,fl,us,sphere,300
10/11/13 22:08,dresser,wi,us,sphere,60
10/11/13 22:10,lombard,il,us,formation,60
10/11/13 22:18,windsor (canada),on,ca,light,300
10/11/13 23:00,north canton,oh,us,fireball,10
10/11/13 23:15,pinckney,mi,us,fireball,2
10/1/50 11:00,pikeville,ky,us,disk,600
10/1/52 03:30,fukuoka (japan),,,disk,1200
10/1/52 12:00,kansas city,mo,us,disk,90
10/1/54 19:00,flatwoods,wv,us,circle,60
10/1/55 22:00,mono lake (area),ca,,circle,5
10/1/56 19:00,newport,nh,us,rectangle,300
10/1/57 16:00,nelchina (near),ak,us,unknown,180
10/1/57 21:00,paterson,nj,us,disk,10
10/1/57 22:00,northeast cape afs,ak,,,900
10/1/59 19:00,jacksonville,il,us,unknown,60
10/1/61 03:00,toledo,oh,us,sphere,180
10/1/61 03:30,tulsa,ok,us,disk,120
10/1/61 19:00,nashville,tn,us,disk,1800
10/1/61 22:00,graham,nc,us,triangle,30
10/1/65 06:40,biloxi,ms,us,other,900
10/1/65 14:00,colonial heights,va,us,sphere,120
10/1/65 21:00,dushore,pa,us,disk,300
10/1/66 19:00,edmonton (30 mi. east of&#44 hwy 16 east) (canada),ab,ca,diamond,300
10/1/66 20:00,buffalo,ny,us,light,240
10/1/66 22:00,anacortes,wa,us,light,1200
10/1/66 22:30,anamosa,ia,us,unknown,60
10/1/66 23:00,corvallis,or,us,disk,120
10/1/67 02:00,chaffee,ny,us,sphere,600
10/1/67 13:00,greenville,il,us,circle,30
10/1/67 19:00,hudson&#39s hope (canada),bc,,sphere,120
10/1/67 20:00,minneapolis,mn,us,disk,10
10/1/68 00:00,boston,ma,us,cigar,1200
10/1/68 20:00,kennebunkport,me,us,circle,600
10/1/69 16:00,san francisco,ca,us,oval,600
10/1/70 00:00,viet nam,,,light,600
10/1/70 01:00,kingston (canada),on,ca,sphere,180
10/1/70 16:00,new york city (brooklyn),ny,us,disk,180
10/1/70 17:30,bentonville,ar,us,other,14400
10/1/70 19:00,summit lake indian reservation,nv,,oval,1500
10/1/70 19:00,tampa,fl,us,other,900
10/1/70 21:00,new york city (brooklyn),ny,us,disk,300
10/1/70 23:00,indian ocean (usn vessel),,,light,240
10/1/71 22:00,pasadena,ca,us,disk,180
10/1/72 01:00,potwin,ks,us,unknown,10800
10/1/72 04:00,denton,tx,us,unknown,600
10/1/72 20:00,mosheim,tx,us,disk,1800
10/1/72 23:00,monroe,wa,us,rectangle,900
10/1/72 23:00,pickens/pumpkintown,sc,,chevron,1800
10/1/73 01:00,montezuma,in,us,sphere,900
10/1/73 15:00,virginia beach,va,us,disk,1800
10/1/73 20:00,bloomington,in,us,light,1200
10/1/73 20:30,north st. paul,mn,,triangle,120
10/1/73 21:00,roseburg,or,us,cylinder,7200
10/1/73 21:30,beatty,nv,us,disk,7200
10/1/73 21:30,hixson,tn,us,oval,37800
10/1/73 22:45,valley city,oh,us,disk,300
10/1/74 01:00,denton,tx,us,unknown,600
10/1/74 18:00,weirton,wv,us,sphere,240
10/1/74 20:00,ankara (turkey),,,changing,300
10/1/74 20:00,deerwood,mn,us,unknown,2
10/1/74 21:00,chester,nj,us,light,600
10/1/75 21:00,kincheloe air force base&#44 michigan,mi,,triangle,15
10/1/75 22:00,maricopa,az,us,changing,1200
10/1/76 07:00,hartville,oh,us,disk,120
10/1/76 19:00,fairport,ny,us,disk,600
10/1/76 21:00,thonotosassa,fl,us,disk,900
10/1/77 01:00,iselton,ca,,light,120
10/1/77 19:00,fountain valley,ca,us,other,360
10/1/77 22:00,ferndale,ca,us,other,60
10/1/78 00:00,windsor,nc,us,cone,300
